T (C),Phases vol%-AUSTENITE-50.0(C/s),Phases vol%-MARTENSITE-50.0(C/s),Phases vol%-BAINITE-50.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-50.0(C/s),Density (g/(cm)^3)-AUSTENITE-50.0(C/s),Density (g/(cm)^3)-MARTENSITE-50.0(C/s),Density (g/(cm)^3)-TOTAL-50.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-50.0(C/s),Molar volume (cm^3)-AUSTENITE-50.0(C/s),Molar volume (cm^3)-MARTENSITE-50.0(C/s),Molar volume (cm^3)-TOTAL-50.0(C/s),Linear expansion (%)-  -50.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-50.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-50.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-50.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-50.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Young's modulus (GPa)-AUSTENITE-50.0(C/s),Young's modulus (GPa)-MARTENSITE-50.0(C/s),Young's modulus (GPa)-TOTAL-50.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Bulk modulus (GPa)-AUSTENITE-50.0(C/s),Bulk modulus (GPa)-MARTENSITE-50.0(C/s),Bulk modulus (GPa)-TOTAL-50.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-50.0(C/s),Shear modulus(GPa)-AUSTENITE-50.0(C/s),Shear modulus(GPa)-MARTENSITE-50.0(C/s),Shear modulus(GPa)-TOTAL-50.0(C/s),Poisson's ratio-BAINITE_PEARLITE-50.0(C/s),Poisson's ratio-AUSTENITE-50.0(C/s),Poisson's ratio-MARTENSITE-50.0(C/s),Poisson's ratio-TOTAL-50.0(C/s),Yield Stress (MPa)-TOTAL-50.0(C/s),Yield Stress (MPa)-BAINITE-50.0(C/s),Yield Stress (MPa)-MARTENSITE-50.0(C/s),Yield Stress (MPa)-AUSTENITE-50.0(C/s),Tensile Stress (MPa)-TOTAL-50.0(C/s),Hardness (HRC)-TOTAL-50.0(C/s),Enthalpy (J/g)-TOTAL-50.0(C/s),Enthalpy (J/g)-AUSTENITE-50.0(C/s),Enthalpy (J/g)-FERRITE-50.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-50.0(C/s),Enthalpy (J/g)-MARTENSITE-50.0(C/s),Specific heat (J/(g K))-TOTAL-50.0(C/s),Specific heat (J/(g K))-AUSTENITE-50.0(C/s),Specific heat (J/(g K))-FERRITE-50.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-50.0(C/s),Specific heat (J/(g K))-MARTENSITE-50.0(C/s),Latent heat (J/g)-FERRITE-50.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-50.0(C/s),Latent heat (J/g)-MARTENSITE-50.0(C/s),TIME(s)-Cooling_50.0(C/s)
920,100, , , ,7.52843, ,7.52843, ,7.19184, ,7.19184,0, ,27.48108, ,27.48108, ,1.06372, ,1.06372, ,0.9401, ,0.9401, ,118.77639, ,118.77639, ,126.55941, ,126.55941, ,44.20137, ,44.20137, ,0.34358, ,0.34358,201.372, , ,201.372,265.243,-40.28861,645.90414,645.90414, ,617.0113, ,0.61893,0.61893, ,0.78066, , , , ,0
915,100, , , ,7.53096, ,7.53096, ,7.18942, ,7.18942,-0.0112279, ,27.42095, ,27.42095, ,1.06159, ,1.06159, ,0.94199, ,0.94199, ,119.26472, ,119.26472, ,126.8472, ,126.8472, ,44.39257, ,44.39257, ,0.3433, ,0.3433,201.525, , ,201.525,266.372,-40.02576,642.79808,642.79848, ,613.10643, ,0.62121,0.61943, ,0.7809, , ,29.69205,-31.35537,0.1
910,100, , , ,7.5335, ,7.5335, ,7.187, ,7.187,-0.0224563, ,27.36092, ,27.36092, ,1.05944, ,1.05944, ,0.9439, ,0.9439, ,119.75274, ,119.75274, ,127.13376, ,127.13376, ,44.58373, ,44.58373, ,0.34301, ,0.34301,201.678, , ,201.678,267.501,-39.76497,639.70022,639.70063, ,609.20085, ,0.61957,0.61892, ,0.78118, , ,30.49978,-30.79222,0.2
905,100, , , ,7.53604, ,7.53604, ,7.18458, ,7.18458,-0.0336789, ,27.30088, ,27.30088, ,1.05728, ,1.05728, ,0.94582, ,0.94582, ,120.24043, ,120.24043, ,127.41892, ,127.41892, ,44.77484, ,44.77484, ,0.34272, ,0.34272,201.832, , ,201.832,268.631,-39.50573,636.60631,636.60672, ,605.29381, ,0.61878,0.61824, ,0.78157, , ,31.31291,-30.21646,0.3
900,100, , , ,7.53858, ,7.53858, ,7.18216, ,7.18216,-0.0448984, ,27.24084, ,27.24084, ,1.05511, ,1.05511, ,0.94777, ,0.94777, ,120.72779, ,120.72779, ,127.7027, ,127.7027, ,44.96593, ,44.96593, ,0.34244, ,0.34244,201.988, , ,201.988,269.762,-39.24789,633.51633,633.51673, ,601.38453, ,0.618,0.61751, ,0.78211, , ,32.1322,-29.62761,0.4
895,100, , , ,7.54112, ,7.54112, ,7.17974, ,7.17974,-0.0561159, ,27.1808, ,27.1808, ,1.05294, ,1.05294, ,0.94972, ,0.94972, ,121.21484, ,121.21484, ,127.9851, ,127.9851, ,45.15697, ,45.15697, ,0.34215, ,0.34215,202.145, , ,202.145,270.894,-38.99158,630.43025,630.43065, ,597.4722, ,0.61721,0.61676, ,0.78282, , ,32.95845,-29.02518,0.5
890,100, , , ,7.54366, ,7.54366, ,7.17732, ,7.17732,-0.067332, ,27.12076, ,27.12076, ,1.05075, ,1.05075, ,0.9517, ,0.9517, ,121.70156, ,121.70156, ,128.26614, ,128.26614, ,45.34798, ,45.34798, ,0.34186, ,0.34186,202.304, , ,202.304,272.027,-38.73679,627.34809,627.34848, ,593.55599, ,0.61643,0.61599, ,0.78364, , ,33.79249,-28.40862,0.6
885,100, , , ,7.54621, ,7.54621, ,7.1749, ,7.1749,-0.0785469, ,27.06072, ,27.06072, ,1.04856, ,1.04856, ,0.95369, ,0.95369, ,122.18797, ,122.18797, ,128.54583, ,128.54583, ,45.53895, ,45.53895, ,0.34158, ,0.34158,202.464, , ,202.464,273.161,-38.48343,624.26983,624.27022, ,589.63504, ,0.61565,0.61522, ,0.78438, , ,34.63518,-27.77739,0.7
880,100, , , ,7.54875, ,7.54875, ,7.17248, ,7.17248,-0.0897598, ,27.00068, ,27.00068, ,1.04635, ,1.04635, ,0.9557, ,0.9557, ,122.67406, ,122.67406, ,128.82416, ,128.82416, ,45.72988, ,45.72988, ,0.34129, ,0.34129,202.626, , ,202.626,274.297,-38.23157,621.19548,621.19587, ,585.70846, ,0.61487,0.61447, ,0.78557, , ,35.48741,-27.13087,0.8
875,100, , , ,7.5513, ,7.5513, ,7.17006, ,7.17006,-0.10097, ,26.94064, ,26.94064, ,1.04414, ,1.04414, ,0.95773, ,0.95773, ,123.15982, ,123.15982, ,129.10116, ,129.10116, ,45.92077, ,45.92077, ,0.341, ,0.341,202.79, , ,202.79,275.433,-37.98111,618.12504,618.12543, ,581.77528, ,0.61409,0.61369, ,0.78699, , ,36.35015,-26.46845,0.9
