T (C),Phases vol%-AUSTENITE-50.0(C/s),Phases vol%-FERRITE-50.0(C/s),Phases vol%-MARTENSITE-50.0(C/s),Phases vol%-BAINITE-50.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-50.0(C/s),Density (g/(cm)^3)-AUSTENITE-50.0(C/s),Density (g/(cm)^3)-FERRITE-50.0(C/s),Density (g/(cm)^3)-MARTENSITE-50.0(C/s),Density (g/(cm)^3)-TOTAL-50.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-50.0(C/s),Molar volume (cm^3)-AUSTENITE-50.0(C/s),Molar volume (cm^3)-FERRITE-50.0(C/s),Molar volume (cm^3)-MARTENSITE-50.0(C/s),Molar volume (cm^3)-TOTAL-50.0(C/s),Linear expansion (%)-  -50.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-50.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-50.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-50.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-50.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-50.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Young's modulus (GPa)-AUSTENITE-50.0(C/s),Young's modulus (GPa)-FERRITE-50.0(C/s),Young's modulus (GPa)-MARTENSITE-50.0(C/s),Young's modulus (GPa)-TOTAL-50.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Bulk modulus (GPa)-AUSTENITE-50.0(C/s),Bulk modulus (GPa)-FERRITE-50.0(C/s),Bulk modulus (GPa)-MARTENSITE-50.0(C/s),Bulk modulus (GPa)-TOTAL-50.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-50.0(C/s),Shear modulus(GPa)-AUSTENITE-50.0(C/s),Shear modulus(GPa)-FERRITE-50.0(C/s),Shear modulus(GPa)-MARTENSITE-50.0(C/s),Shear modulus(GPa)-TOTAL-50.0(C/s),Poisson's ratio-BAINITE_PEARLITE-50.0(C/s),Poisson's ratio-AUSTENITE-50.0(C/s),Poisson's ratio-FERRITE-50.0(C/s),Poisson's ratio-MARTENSITE-50.0(C/s),Poisson's ratio-TOTAL-50.0(C/s),Yield Stress (MPa)-TOTAL-50.0(C/s),Yield Stress (MPa)-FERRITE-50.0(C/s),Yield Stress (MPa)-BAINITE-50.0(C/s),Yield Stress (MPa)-MARTENSITE-50.0(C/s),Yield Stress (MPa)-AUSTENITE-50.0(C/s),Tensile Stress (MPa)-TOTAL-50.0(C/s),Hardness (HRC)-TOTAL-50.0(C/s),Enthalpy (J/g)-TOTAL-50.0(C/s),Enthalpy (J/g)-AUSTENITE-50.0(C/s),Enthalpy (J/g)-FERRITE-50.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-50.0(C/s),Enthalpy (J/g)-MARTENSITE-50.0(C/s),Specific heat (J/(g K))-TOTAL-50.0(C/s),Specific heat (J/(g K))-AUSTENITE-50.0(C/s),Specific heat (J/(g K))-FERRITE-50.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-50.0(C/s),Specific heat (J/(g K))-MARTENSITE-50.0(C/s),Latent heat (J/g)-FERRITE-50.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-50.0(C/s),Latent heat (J/g)-MARTENSITE-50.0(C/s),TIME(s)-Cooling_50.0(C/s)
920,100, , , , ,7.55502, , ,7.55502, ,7.2383, , ,7.2383,0, ,27.61125, , ,27.61125, ,1.05871, , ,1.05871, ,0.94455, , ,0.94455, ,117.0639, , ,117.0639, ,125.87805, , ,125.87805, ,43.51806, , ,43.51806, ,0.345, , ,0.345,146.988, , , ,146.988,196.462,-60.62753,633.57723,633.57723, ,612.3975, ,0.61536,0.61536, ,0.78431, , , , ,0
915,100, , , , ,7.55764, , ,7.55764, ,7.23579, , ,7.23579,-0.0115446, ,27.55113, , ,27.55113, ,1.05657, , ,1.05657, ,0.94646, , ,0.94646, ,117.55551, , ,117.55551, ,126.17006, , ,126.17006, ,43.71027, , ,43.71027, ,0.34471, , ,0.34471,147.116, , , ,147.116,197.357,-60.33319,630.48913,630.4895, ,608.4743, ,0.61762,0.61585, ,0.78456, , ,22.0152,-15.85415,0.1
910,100, , , , ,7.56026, , ,7.56026, ,7.23328, , ,7.23328,-0.0230901, ,27.4911, , ,27.4911, ,1.05442, , ,1.05442, ,0.94839, , ,0.94839, ,118.04682, , ,118.04682, ,126.4608, , ,126.4608, ,43.90243, , ,43.90243, ,0.34442, , ,0.34442,147.245, , , ,147.245,198.251,-60.04115,627.4092,627.40958, ,604.55045, ,0.61599,0.61534, ,0.78482, , ,22.85913,-15.2739,0.2
905,100, , , , ,7.56288, , ,7.56288, ,7.23078, , ,7.23078,-0.034629, ,27.43106, , ,27.43106, ,1.05226, , ,1.05226, ,0.95033, , ,0.95033, ,118.5378, , ,118.5378, ,126.7501, , ,126.7501, ,44.09456, , ,44.09456, ,0.34413, , ,0.34413,147.374, , , ,147.374,199.147,-59.75073,624.3332,624.33357, ,600.62516, ,0.6152,0.61467, ,0.78522, , ,23.70841,-14.68052,0.3
900,100, , , , ,7.5655, , ,7.5655, ,7.22827, , ,7.22827,-0.0461642, ,27.37103, , ,27.37103, ,1.05009, , ,1.05009, ,0.95229, , ,0.95229, ,119.02846, , ,119.02846, ,127.03797, , ,127.03797, ,44.28665, , ,44.28665, ,0.34384, , ,0.34384,147.505, , , ,147.505,200.044,-59.46169,621.2611,621.26147, ,596.69764, ,0.61442,0.61394, ,0.78576, , ,24.56383,-14.0735,0.4
895,100, , , , ,7.56812, , ,7.56812, ,7.22577, , ,7.22577,-0.0576965, ,27.31099, , ,27.31099, ,1.04792, , ,1.04792, ,0.95427, , ,0.95427, ,119.51879, , ,119.51879, ,127.32441, , ,127.32441, ,44.4787, , ,44.4787, ,0.34355, , ,0.34355,147.637, , , ,147.637,200.943,-59.17424,618.19289,618.19326, ,592.76705, ,0.61364,0.61318, ,0.78647, , ,25.42621,-13.45232,0.5
890,100, , , , ,7.57074, , ,7.57074, ,7.22326, , ,7.22326,-0.0692267, ,27.25095, , ,27.25095, ,1.04573, , ,1.04573, ,0.95627, , ,0.95627, ,120.00879, , ,120.00879, ,127.60945, , ,127.60945, ,44.67071, , ,44.67071, ,0.34326, , ,0.34326,147.77, , , ,147.77,201.843,-58.88826,615.12858,615.12895, ,588.83253, ,0.61286,0.61242, ,0.78736, , ,26.29642,-12.81641,0.6
885,100, , , , ,7.57337, , ,7.57337, ,7.22076, , ,7.22076,-0.0807549, ,27.19092, , ,27.19092, ,1.04354, , ,1.04354, ,0.95828, , ,0.95828, ,120.49847, , ,120.49847, ,127.89309, , ,127.89309, ,44.86269, , ,44.86269, ,0.34297, , ,0.34297,147.904, , , ,147.904,202.744,-58.60374,612.06815,612.06852, ,584.89317, ,0.61209,0.61166, ,0.78806, , ,27.17535,-12.1652,0.7
880,100, , , , ,7.57599, , ,7.57599, ,7.21826, , ,7.21826,-0.0922805, ,27.13088, , ,27.13088, ,1.04133, , ,1.04133, ,0.96031, , ,0.96031, ,120.98782, , ,120.98782, ,128.17533, , ,128.17533, ,45.05463, , ,45.05463, ,0.34268, , ,0.34268,148.04, , , ,148.04,203.647,-58.32077,609.01161,609.01198, ,580.94808, ,0.61131,0.61091, ,0.78929, , ,28.0639,-11.49804,0.8
875,100, , , , ,7.57862, , ,7.57862, ,7.21576, , ,7.21576,-0.1038, ,27.07084, , ,27.07084, ,1.03911, , ,1.03911, ,0.96236, , ,0.96236, ,121.47685, , ,121.47685, ,128.45619, , ,128.45619, ,45.24653, , ,45.24653, ,0.34239, , ,0.34239,148.178, , , ,148.178,204.55,-58.03913,605.95896,605.95932, ,576.99624, ,0.61053,0.61013, ,0.79075, , ,28.96308,-10.81426,0.9
870,100, , , , ,7.58125, , ,7.58125, ,7.21325, , ,7.21325,-0.11533, ,27.0108, , ,27.0108, ,1.03689, , ,1.03689, ,0.96442, , ,0.96442, ,121.96556, , ,121.96556, ,128.73567, , ,128.73567, ,45.43839, , ,45.43839, ,0.3421, , ,0.3421,148.316, , , ,148.316,205.455,-57.75911,602.91019,602.91055, ,573.03667, ,0.60975,0.60936, ,0.79252, , ,29.87388,-10.11316,1
865,100, , , , ,7.58388, , ,7.58388, ,7.21075, , ,7.21075,-0.12685, ,26.95076, , ,26.95076, ,1.03465, , ,1.03465, ,0.96651, , ,0.96651, ,122.45394, , ,122.45394, ,129.01379, , ,129.01379, ,45.63021, , ,45.63021, ,0.34181, , ,0.34181,148.456, , , ,148.456,206.361,-57.4804,599.86531,599.86567, ,569.06826, ,0.60898,0.60858, ,0.7944, , ,30.79741,-9.39398,1.1
860,100, , , , ,7.58651, , ,7.58651, ,7.20825, , ,7.20825,-0.13837, ,26.89072, , ,26.89072, ,1.03241, , ,1.03241, ,0.96861, , ,0.96861, ,122.942, , ,122.942, ,129.29055, , ,129.29055, ,45.822, , ,45.822, ,0.34152, , ,0.34152,148.597, , , ,148.597,207.267,-57.2033,596.82431,596.82466, ,565.08991, ,0.6082,0.6078, ,0.79651, , ,31.73475,-8.65592,1.2
855,100, , , , ,7.58915, , ,7.58915, ,7.20575, , ,7.20575,-0.14989, ,26.83068, , ,26.83068, ,1.03015, , ,1.03015, ,0.97073, , ,0.97073, ,123.42974, , ,123.42974, ,129.56595, , ,129.56595, ,46.01375, , ,46.01375, ,0.34123, , ,0.34123,148.74, , , ,148.74,208.175,-56.92748,593.78719,593.78755, ,561.10042, ,0.60742,0.60703, ,0.79882, , ,32.68713,-7.8981,1.3
850,100, , , , ,7.59178, , ,7.59178, ,7.20325, , ,7.20325,-0.1614, ,26.77064, , ,26.77064, ,1.02789, , ,1.02789, ,0.97287, , ,0.97287, ,123.91715, , ,123.91715, ,129.84001, , ,129.84001, ,46.20546, , ,46.20546, ,0.34094, , ,0.34094,148.884, , , ,148.884,209.084,-56.65313,590.75396,590.75431, ,557.09855, ,0.60665,0.60625, ,0.80144, , ,33.65576,-7.11964,1.4
