T (C),Phases vol%-AUSTENITE-50.0(C/s),Phases vol%-FERRITE-50.0(C/s),Phases vol%-MARTENSITE-50.0(C/s),Phases vol%-BAINITE-50.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-50.0(C/s),Density (g/(cm)^3)-AUSTENITE-50.0(C/s),Density (g/(cm)^3)-FERRITE-50.0(C/s),Density (g/(cm)^3)-MARTENSITE-50.0(C/s),Density (g/(cm)^3)-TOTAL-50.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-50.0(C/s),Molar volume (cm^3)-AUSTENITE-50.0(C/s),Molar volume (cm^3)-FERRITE-50.0(C/s),Molar volume (cm^3)-MARTENSITE-50.0(C/s),Molar volume (cm^3)-TOTAL-50.0(C/s),Linear expansion (%)-  -50.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-50.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-50.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-50.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-50.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-50.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Young's modulus (GPa)-AUSTENITE-50.0(C/s),Young's modulus (GPa)-FERRITE-50.0(C/s),Young's modulus (GPa)-MARTENSITE-50.0(C/s),Young's modulus (GPa)-TOTAL-50.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Bulk modulus (GPa)-AUSTENITE-50.0(C/s),Bulk modulus (GPa)-FERRITE-50.0(C/s),Bulk modulus (GPa)-MARTENSITE-50.0(C/s),Bulk modulus (GPa)-TOTAL-50.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-50.0(C/s),Shear modulus(GPa)-AUSTENITE-50.0(C/s),Shear modulus(GPa)-FERRITE-50.0(C/s),Shear modulus(GPa)-MARTENSITE-50.0(C/s),Shear modulus(GPa)-TOTAL-50.0(C/s),Poisson's ratio-BAINITE_PEARLITE-50.0(C/s),Poisson's ratio-AUSTENITE-50.0(C/s),Poisson's ratio-FERRITE-50.0(C/s),Poisson's ratio-MARTENSITE-50.0(C/s),Poisson's ratio-TOTAL-50.0(C/s),Yield Stress (MPa)-TOTAL-50.0(C/s),Yield Stress (MPa)-FERRITE-50.0(C/s),Yield Stress (MPa)-BAINITE-50.0(C/s),Yield Stress (MPa)-MARTENSITE-50.0(C/s),Yield Stress (MPa)-AUSTENITE-50.0(C/s),Tensile Stress (MPa)-TOTAL-50.0(C/s),Hardness (HRC)-TOTAL-50.0(C/s),Enthalpy (J/g)-TOTAL-50.0(C/s),Enthalpy (J/g)-AUSTENITE-50.0(C/s),Enthalpy (J/g)-FERRITE-50.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-50.0(C/s),Enthalpy (J/g)-MARTENSITE-50.0(C/s),Specific heat (J/(g K))-TOTAL-50.0(C/s),Specific heat (J/(g K))-AUSTENITE-50.0(C/s),Specific heat (J/(g K))-FERRITE-50.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-50.0(C/s),Specific heat (J/(g K))-MARTENSITE-50.0(C/s),Latent heat (J/g)-FERRITE-50.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-50.0(C/s),Latent heat (J/g)-MARTENSITE-50.0(C/s),TIME(s)-Cooling_50.0(C/s)
805,100, , , , ,7.64833, , ,7.64833, ,7.23277, , ,7.23277,-0.27319, ,26.37829, , ,26.37829, ,1.00138, , ,1.00138, ,0.99862, , ,0.99862, ,126.42903, , ,126.42903, ,131.55911, , ,131.55911, ,47.18091, , ,47.18091, ,0.33983, , ,0.33983,87.0123, , , ,87.0123,128.702,-91.26232,550.26561,550.26596, ,515.23804, ,0.59566,0.59527, ,0.84217, ,34.23478,35.02792,18.78487,2.3
800,100, , , , ,7.65107, , ,7.65107, ,7.23018, , ,7.23018,-0.28504, ,26.31824, , ,26.31824, ,0.99901, , ,0.99901, ,1.00099, , ,1.00099, ,126.91684, , ,126.91684, ,131.82392, , ,131.82392, ,47.37338, , ,47.37338, ,0.33954, , ,0.33954,87.1373, , , ,87.1373,129.318,-90.95329,547.29117,547.29152, ,511.0105, ,0.59489,0.59449, ,0.8486, ,35.35736,36.28102,19.88456,2.4
795,100, , , , ,7.65382, , ,7.65382, ,7.22759, , ,7.22759,-0.29689, ,26.2582, , ,26.2582, ,0.99663, , ,0.99663, ,1.00338, , ,1.00338, ,127.40432, , ,127.40432, ,132.08741, , ,132.08741, ,47.56582, , ,47.56582, ,0.33924, , ,0.33924,87.2635, , , ,87.2636,129.934,-90.64561,544.32005,544.32094, ,506.7495, ,0.59422,0.59372, ,0.85559, ,36.521,37.57144,21.02338,2.5
790,100, , , , ,7.65656, , ,7.65656, ,7.22499, , ,7.22499,-0.30873, ,26.19816, , ,26.19816, ,0.99424, , ,0.99424, ,1.0058, , ,1.0058, ,127.89147, , ,127.89147, ,132.3496, , ,132.3496, ,47.75821, , ,47.75821, ,0.33895, , ,0.33895,87.3911, , , ,87.3912,130.552,-90.33891,541.35279,541.35422, ,502.45211, ,0.59345,0.59295, ,0.86319, ,37.73171,38.90211,22.20378,2.6
785,100, , , , ,7.65931, , ,7.65931, ,7.2224, , ,7.2224,-0.32057, ,26.13812, , ,26.13812, ,0.99183, , ,0.99183, ,1.00823, , ,1.00823, ,128.3783, , ,128.3783, ,132.61049, , ,132.61049, ,47.95057, , ,47.95057, ,0.33865, , ,0.33865,87.5201, , , ,87.5205,131.171,-90.03301,538.38888,538.3914, ,498.11515, ,0.59278,0.59218, ,0.87146, ,38.99368,40.27625,23.42852,2.7
780,100, , , , ,7.66206, , ,7.66206, ,7.21981, , ,7.21981,-0.33242, ,26.07808, , ,26.07808, ,0.98942, , ,0.98942, ,1.01069, , ,1.01069, ,128.86479, , ,128.86479, ,132.87008, , ,132.87008, ,48.14289, , ,48.14289, ,0.33836, , ,0.33836,87.6504, , , ,87.6509,131.79,-89.72844,535.42882,535.43239, ,493.73513, ,0.59201,0.59141, ,0.88046, ,40.31053,41.69726,24.70048,2.8
775,100, , , , ,7.66481, , ,7.66481, ,7.21722, , ,7.21722,-0.34425, ,26.01803, , ,26.01803, ,0.987, , ,0.987, ,1.01318, , ,1.01318, ,129.35097, , ,129.35097, ,133.1284, , ,133.1284, ,48.33518, , ,48.33518, ,0.33806, , ,0.33806,87.7821, , , ,87.783,132.411,-89.425,532.47159,532.47729, ,489.30824, ,0.59145,0.59064, ,0.89025, ,41.68656,43.16905,26.02298,2.9
770,100, , , , ,7.66756, , ,7.66756, ,7.21463, , ,7.21463,-0.35609, ,25.95799, , ,25.95799, ,0.98456, , ,0.98456, ,1.01568, , ,1.01568, ,129.83681, , ,129.83681, ,133.38544, , ,133.38544, ,48.52742, , ,48.52742, ,0.33777, , ,0.33777,87.9151, , , ,87.9165,133.033,-89.12251,529.51771,529.52604, ,484.83029, ,0.59078,0.58986, ,0.90073, ,43.12599,44.69575,27.39954,3
765,100, , , , ,7.67031, , ,7.67031, ,7.21204, , ,7.21204,-0.36793, ,25.89794, , ,25.89794, ,0.98211, , ,0.98211, ,1.01821, , ,1.01821, ,130.32233, , ,130.32233, ,133.6412, , ,133.6412, ,48.71963, , ,48.71963, ,0.33747, , ,0.33747,88.0496, , , ,88.0514,133.656,-88.82116,526.56719,526.57866, ,480.29672, ,0.5901,0.58909, ,0.91237, ,44.63365,46.28194,28.83407,3.1
760,100, , , , ,7.67306, , ,7.67306, ,7.20946, , ,7.20946,-0.37976, ,25.8379, , ,25.8379, ,0.97965, , ,0.97965, ,1.02077, , ,1.02077, ,130.80752, , ,130.80752, ,133.89571, , ,133.89571, ,48.91181, , ,48.91181, ,0.33718, , ,0.33718,88.1856, , , ,88.1881,134.279,-88.52075,523.61954,523.63517, ,475.70245, ,0.58953,0.58832, ,0.92507, ,46.21482,47.93272,30.33092,3.2
755,100, , , , ,7.67582, , ,7.67582, ,7.20687, , ,7.20687,-0.39159, ,25.77785, , ,25.77785, ,0.97718, , ,0.97718, ,1.02335, , ,1.02335, ,131.29238, , ,131.29238, ,134.14896, , ,134.14896, ,49.10394, , ,49.10394, ,0.33688, , ,0.33688,88.3229, , , ,88.3263,134.904,-88.22145,520.67476,520.69554, ,471.04189, ,0.58896,0.58755, ,0.93895, ,48.16477,49.65365,31.89479,3.3
750,100, , , , ,7.67858, , ,7.67858, ,7.20428, , ,7.20428,-0.40342, ,25.71781, , ,25.71781, ,0.9747, , ,0.9747, ,1.02596, , ,1.02596, ,131.77692, , ,131.77692, ,134.40096, , ,134.40096, ,49.29604, , ,49.29604, ,0.33659, , ,0.33659,88.4614, , , ,88.466,135.529,-87.92326,517.73182,517.75978, ,465.85524, ,0.58859,0.58678, ,1.0795, ,50.52262,51.90454,33.53093,3.4
745,100, , , , ,7.68133, , ,7.68133, ,7.20169, , ,7.20169,-0.41525, ,25.65776, , ,25.65776, ,0.97221, , ,0.97221, ,1.02859, , ,1.02859, ,132.26113, , ,132.26113, ,134.65172, , ,134.65172, ,49.4881, , ,49.4881, ,0.33629, , ,0.33629,88.6014, , , ,88.6076,136.156,-87.62616,514.79182,514.82791, ,460.49321, ,0.588,0.586, ,1.06466, ,52.8115,54.3347,35.69366,3.5
740,100, , , , ,7.68409, , ,7.68409, ,7.1991, , ,7.1991,-0.42708, ,25.59771, , ,25.59771, ,0.9697, , ,0.9697, ,1.03124, , ,1.03124, ,132.74502, , ,132.74502, ,134.90125, , ,134.90125, ,49.68012, , ,49.68012, ,0.336, , ,0.336,88.743, , , ,88.7509,136.783,-87.33016,511.85375,511.89995, ,455.20402, ,0.58761,0.58523, ,1.05036, ,55.03501,56.69593,38.04063,3.6
735,99.98842,0.0115829, , , ,7.68686,7.6015, ,7.68685, ,7.19652,7.33031, ,7.19653,-0.43883, ,25.53766,31.91441, ,25.53828, ,0.96719,0.77393, ,0.96716, ,1.03393,1.2921, ,1.03395, ,133.22858,137.689, ,133.2293, ,135.14955,126.24703, ,135.14861, ,49.87211,52.22503, ,49.87245, ,0.3357,0.31823, ,0.3357,88.8975,101.809, , ,88.896,137.428,-87.02628,508.96834,508.97589,447.0228,449.98491, ,0.57708,0.58446,1.02538,1.0366, ,57.19648,58.99098,40.32213,3.7
730,99.98534,0.01466, , , ,7.68962,7.60345, ,7.68961, ,7.19393,7.32843, ,7.19395,-0.45064, ,25.47761,32.00002, ,25.47841, ,0.96466,0.76804, ,0.96463, ,1.03664,1.30202, ,1.03667, ,133.71182,138.45194, ,133.71277, ,135.39662,126.80899, ,135.39549, ,50.06406,52.52227, ,50.06451, ,0.33541,0.31803, ,0.3354,89.0449,101.963, , ,89.043,138.061,-86.73,506.04609,506.05573,441.92759,444.83326, ,0.58445,0.58369,1.01253,1.02335, ,59.29887,61.22247,42.54061,3.8
725,99.9816,0.018402, , , ,7.69238,7.60541, ,7.69237, ,7.19134,7.32655, ,7.19137,-0.46244, ,25.41756,32.08732, ,25.41859, ,0.96212,0.76213, ,0.96208, ,1.03937,1.31211, ,1.03942, ,134.19474,139.21323, ,134.19598, ,135.64249,127.36822, ,135.64112, ,50.25598,52.81897, ,50.25656, ,0.33511,0.31783, ,0.33511,89.1942,102.119, , ,89.1919,138.696,-86.43448,503.12694,503.13947,436.89555,439.74656, ,0.58383,0.58291,1.00011,1.01059, ,61.34497,63.39291,44.69839,3.9
720,99.97707,0.022933, , , ,7.69515,7.60735, ,7.69513, ,7.18876,7.32467, ,7.18879,-0.47423, ,25.35751,32.17627, ,25.35881, ,0.95956,0.75621, ,0.95952, ,1.04214,1.32238, ,1.04219, ,134.67734,139.9728, ,134.67895, ,135.88714,127.92468, ,135.88552, ,50.44786,53.11511, ,50.44861, ,0.33482,0.31764, ,0.33481,89.3458,102.277, , ,89.3429,139.332,-86.1394,500.21142,500.22716,431.92454,434.72246, ,0.5831,0.58214,0.98812,0.99829, ,63.33737,65.5047,46.79773,4
715,99.9716,0.0283965, , , ,7.69791,7.6093, ,7.69789, ,7.18617,7.3228, ,7.18621,-0.48602, ,25.29745,32.26687, ,25.29909, ,0.957,0.7503, ,0.95694, ,1.04493,1.33281, ,1.045, ,135.15962,140.73062, ,135.16168, ,136.1306,128.47833, ,136.12868, ,50.63971,53.41067, ,50.64066, ,0.33452,0.31744, ,0.33452,89.4994,102.436, , ,89.4958,139.97,-85.84507,497.29858,497.31875,427.01252,429.97043, ,0.58257,0.58137,0.97652,0.96428, ,65.27834,67.34832,48.84071,4.1
