T (C),Phases vol%-AUSTENITE-50.0(C/s),Phases vol%-FERRITE-50.0(C/s),Phases vol%-MARTENSITE-50.0(C/s),Phases vol%-BAINITE-50.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-50.0(C/s),Density (g/(cm)^3)-AUSTENITE-50.0(C/s),Density (g/(cm)^3)-FERRITE-50.0(C/s),Density (g/(cm)^3)-MARTENSITE-50.0(C/s),Density (g/(cm)^3)-TOTAL-50.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-50.0(C/s),Molar volume (cm^3)-AUSTENITE-50.0(C/s),Molar volume (cm^3)-FERRITE-50.0(C/s),Molar volume (cm^3)-MARTENSITE-50.0(C/s),Molar volume (cm^3)-TOTAL-50.0(C/s),Linear expansion (%)-  -50.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-50.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-50.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-50.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-50.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-50.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-50.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-50.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Young's modulus (GPa)-AUSTENITE-50.0(C/s),Young's modulus (GPa)-FERRITE-50.0(C/s),Young's modulus (GPa)-MARTENSITE-50.0(C/s),Young's modulus (GPa)-TOTAL-50.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-50.0(C/s),Bulk modulus (GPa)-AUSTENITE-50.0(C/s),Bulk modulus (GPa)-FERRITE-50.0(C/s),Bulk modulus (GPa)-MARTENSITE-50.0(C/s),Bulk modulus (GPa)-TOTAL-50.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-50.0(C/s),Shear modulus(GPa)-AUSTENITE-50.0(C/s),Shear modulus(GPa)-FERRITE-50.0(C/s),Shear modulus(GPa)-MARTENSITE-50.0(C/s),Shear modulus(GPa)-TOTAL-50.0(C/s),Poisson's ratio-BAINITE_PEARLITE-50.0(C/s),Poisson's ratio-AUSTENITE-50.0(C/s),Poisson's ratio-FERRITE-50.0(C/s),Poisson's ratio-MARTENSITE-50.0(C/s),Poisson's ratio-TOTAL-50.0(C/s),Yield Stress (MPa)-TOTAL-50.0(C/s),Yield Stress (MPa)-FERRITE-50.0(C/s),Yield Stress (MPa)-BAINITE-50.0(C/s),Yield Stress (MPa)-MARTENSITE-50.0(C/s),Yield Stress (MPa)-AUSTENITE-50.0(C/s),Tensile Stress (MPa)-TOTAL-50.0(C/s),Hardness (HRC)-TOTAL-50.0(C/s),Enthalpy (J/g)-TOTAL-50.0(C/s),Enthalpy (J/g)-AUSTENITE-50.0(C/s),Enthalpy (J/g)-FERRITE-50.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-50.0(C/s),Enthalpy (J/g)-MARTENSITE-50.0(C/s),Specific heat (J/(g K))-TOTAL-50.0(C/s),Specific heat (J/(g K))-AUSTENITE-50.0(C/s),Specific heat (J/(g K))-FERRITE-50.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-50.0(C/s),Specific heat (J/(g K))-MARTENSITE-50.0(C/s),Latent heat (J/g)-FERRITE-50.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-50.0(C/s),Latent heat (J/g)-MARTENSITE-50.0(C/s),TIME(s)-Cooling_50.0(C/s)
920,100, , , , ,7.58565, , ,7.58565, ,7.29254, , ,7.29254,0, ,27.75919, , ,27.75919, ,1.05306, , ,1.05306, ,0.94961, , ,0.94961, ,115.11867, , ,115.11867, ,125.08894, , ,125.08894, ,42.74364, , ,42.74364, ,0.34662, , ,0.34662,84.4616, , , ,84.4616,114.909,-98.68728,619.74727,619.74727, ,607.62608, ,0.61128,0.61128, ,0.78679, , , , ,0
915,100, , , , ,7.58836, , ,7.58836, ,7.28993, , ,7.28993,-0.0119108, ,27.69907, , ,27.69907, ,1.05093, , ,1.05093, ,0.95154, , ,0.95154, ,115.61403, , ,115.61403, ,125.38592, , ,125.38592, ,42.93698, , ,42.93698, ,0.34632, , ,0.34632,84.5628, , , ,84.5628,115.495,-98.34975,616.67973,616.68012, ,603.69036, ,0.61351,0.61176, ,0.78703, , ,12.98976,1.27107,0.1
910,100, , , , ,7.59107, , ,7.59107, ,7.28733, , ,7.28733,-0.0238215, ,27.63904, , ,27.63904, ,1.04878, , ,1.04878, ,0.95349, , ,0.95349, ,116.10908, , ,116.10908, ,125.68158, , ,125.68158, ,43.13028, , ,43.13028, ,0.34603, , ,0.34603,84.6631, , , ,84.6631,116.08,-98.01474,613.62029,613.62067, ,599.75423, ,0.61189,0.61125, ,0.78726, , ,13.86644,1.87144,0.2
905,100, , , , ,7.59379, , ,7.59379, ,7.28472, , ,7.28472,-0.0357247, ,27.57901, , ,27.57901, ,1.04662, , ,1.04662, ,0.95546, , ,0.95546, ,116.6038, , ,116.6038, ,125.97574, , ,125.97574, ,43.32354, , ,43.32354, ,0.34573, , ,0.34573,84.7642, , , ,84.7642,116.667,-97.68125,610.56475,610.56514, ,595.81686, ,0.61111,0.61058, ,0.78761, , ,14.74828,2.48559,0.3
900,100, , , , ,7.5965, , ,7.5965, ,7.28212, , ,7.28212,-0.0476233, ,27.51898, , ,27.51898, ,1.04445, , ,1.04445, ,0.95744, , ,0.95744, ,117.09819, , ,117.09819, ,126.26841, , ,126.26841, ,43.51677, , ,43.51677, ,0.34544, , ,0.34544,84.8664, , , ,84.8664,117.255,-97.34889,607.51309,607.51348, ,591.87744, ,0.61033,0.60985, ,0.78813, , ,15.63604,3.11398,0.4
895,100, , , , ,7.59922, , ,7.59922, ,7.27952, , ,7.27952,-0.0595182, ,27.45895, , ,27.45895, ,1.04227, , ,1.04227, ,0.95944, , ,0.95944, ,117.59225, , ,117.59225, ,126.55961, , ,126.55961, ,43.70996, , ,43.70996, ,0.34514, , ,0.34514,84.9695, , , ,84.9695,117.845,-97.01784,604.46531,604.46569, ,587.93512, ,0.60956,0.6091, ,0.7888, , ,16.53057,3.75721,0.5
890,100, , , , ,7.60193, , ,7.60193, ,7.27691, , ,7.27691,-0.0714102, ,27.39891, , ,27.39891, ,1.04008, , ,1.04008, ,0.96146, , ,0.96146, ,118.08597, , ,118.08597, ,126.84934, , ,126.84934, ,43.90311, , ,43.90311, ,0.34485, , ,0.34485,85.0736, , , ,85.0736,118.436,-96.68791,601.42139,601.42178, ,583.98902, ,0.60878,0.60835, ,0.78966, , ,17.43276,4.41587,0.6
885,100, , , , ,7.60465, , ,7.60465, ,7.27431, , ,7.27431,-0.0832994, ,27.33888, , ,27.33888, ,1.03789, , ,1.03789, ,0.9635, , ,0.9635, ,118.57937, , ,118.57937, ,127.13762, , ,127.13762, ,44.09622, , ,44.09622, ,0.34455, , ,0.34455,85.1788, , , ,85.1788,119.029,-96.35927,598.38134,598.38172, ,580.0382, ,0.60801,0.60758, ,0.79036, , ,18.34352,5.09057,0.7
880,100, , , , ,7.60737, , ,7.60737, ,7.27171, , ,7.27171,-0.0951852, ,27.27885, , ,27.27885, ,1.03568, , ,1.03568, ,0.96555, , ,0.96555, ,119.07244, , ,119.07244, ,127.42446, , ,127.42446, ,44.2893, , ,44.2893, ,0.34426, , ,0.34426,85.2849, , , ,85.2849,119.623,-96.03192,595.34516,595.34554, ,576.08175, ,0.60724,0.60684, ,0.79158, , ,19.26379,5.78202,0.8
875,100, , , , ,7.61009, , ,7.61009, ,7.26911, , ,7.26911,-0.10707, ,27.21881, , ,27.21881, ,1.03346, , ,1.03346, ,0.96762, , ,0.96762, ,119.56518, , ,119.56518, ,127.70985, , ,127.70985, ,44.48234, , ,44.48234, ,0.34396, , ,0.34396,85.3921, , , ,85.3921,120.219,-95.70567,592.31284,592.31322, ,572.11866, ,0.60646,0.60607, ,0.79299, , ,20.19456,6.4909,0.9
870,100, , , , ,7.61281, , ,7.61281, ,7.26651, , ,7.26651,-0.11895, ,27.15878, , ,27.15878, ,1.03124, , ,1.03124, ,0.96971, , ,0.96971, ,120.05759, , ,120.05759, ,127.99382, , ,127.99382, ,44.67534, , ,44.67534, ,0.34367, , ,0.34367,85.5004, , , ,85.5004,120.816,-95.38069,589.28439,589.28476, ,568.14788, ,0.60569,0.6053, ,0.79461, , ,21.13688,7.21799,1
865,100, , , , ,7.61554, , ,7.61554, ,7.26392, , ,7.26392,-0.13083, ,27.09874, , ,27.09874, ,1.029, , ,1.029, ,0.97181, , ,0.97181, ,120.54967, , ,120.54967, ,128.27637, , ,128.27637, ,44.8683, , ,44.8683, ,0.34337, , ,0.34337,85.6098, , , ,85.6098,121.415,-95.05697,586.25979,586.26016, ,564.16833, ,0.60492,0.60453, ,0.79648, , ,22.09183,7.96408,1.1
860,100, , , , ,7.61826, , ,7.61826, ,7.26132, , ,7.26132,-0.1427, ,27.03871, , ,27.03871, ,1.02676, , ,1.02676, ,0.97394, , ,0.97394, ,121.04143, , ,121.04143, ,128.55751, , ,128.55751, ,45.06122, , ,45.06122, ,0.34308, , ,0.34308,85.7202, , , ,85.7202,122.015,-94.73433,583.23905,583.23942, ,560.17888, ,0.60415,0.60375, ,0.79874, , ,23.06054,8.73005,1.2
855,100, , , , ,7.62099, , ,7.62099, ,7.25872, , ,7.25872,-0.15458, ,26.97867, , ,26.97867, ,1.0245, , ,1.0245, ,0.97608, , ,0.97608, ,121.53285, , ,121.53285, ,128.83725, , ,128.83725, ,45.25411, , ,45.25411, ,0.34278, , ,0.34278,85.8318, , , ,85.8318,122.616,-94.41293,580.22217,580.22254, ,556.1783, ,0.60338,0.60298, ,0.80106, , ,24.04424,9.5168,1.3
850,100, , , , ,7.62372, , ,7.62372, ,7.25612, , ,7.25612,-0.16645, ,26.91863, , ,26.91863, ,1.02224, , ,1.02224, ,0.97825, , ,0.97825, ,122.02395, , ,122.02395, ,129.11559, , ,129.11559, ,45.44696, , ,45.44696, ,0.34249, , ,0.34249,85.9445, , , ,85.9445,123.219,-94.09278,577.20915,577.20951, ,552.16533, ,0.6026,0.60221, ,0.80368, , ,25.04418,10.32532,1.4
845,100, , , , ,7.62645, , ,7.62645, ,7.25353, , ,7.25353,-0.17832, ,26.8586, , ,26.8586, ,1.01996, , ,1.01996, ,0.98043, , ,0.98043, ,122.51472, , ,122.51472, ,129.39254, , ,129.39254, ,45.63977, , ,45.63977, ,0.34219, , ,0.34219,86.0583, , , ,86.0583,123.823,-93.77368,574.19999,574.20035, ,548.13862, ,0.60183,0.60144, ,0.80657, , ,26.06173,11.15668,1.5
840,100, , , , ,7.62918, , ,7.62918, ,7.25093, , ,7.25093,-0.19018, ,26.79856, , ,26.79856, ,1.01767, , ,1.01767, ,0.98263, , ,0.98263, ,123.00516, , ,123.00516, ,129.66811, , ,129.66811, ,45.83255, , ,45.83255, ,0.3419, , ,0.3419,86.1733, , , ,86.1733,124.429,-93.45581,571.19469,571.19505, ,544.09676, ,0.60106,0.60067, ,0.80976, , ,27.09829,12.01201,1.6
835,100, , , , ,7.63191, , ,7.63191, ,7.24833, , ,7.24833,-0.20205, ,26.73852, , ,26.73852, ,1.01538, , ,1.01538, ,0.98486, , ,0.98486, ,123.49527, , ,123.49527, ,129.94231, , ,129.94231, ,46.02528, , ,46.02528, ,0.3416, , ,0.3416,86.2895, , , ,86.2895,125.036,-93.13898,568.19324,568.1936, ,540.03822, ,0.60029,0.5999, ,0.81325, , ,28.15538,12.89249,1.7
830,100, , , , ,7.63464, , ,7.63464, ,7.24574, , ,7.24574,-0.21391, ,26.67848, , ,26.67848, ,1.01307, , ,1.01307, ,0.9871, , ,0.9871, ,123.98505, , ,123.98505, ,130.21514, , ,130.21514, ,46.21798, , ,46.21798, ,0.34131, , ,0.34131,86.4069, , , ,86.4069,125.644,-92.82354,565.19566,565.19602, ,535.9614, ,0.59952,0.59912, ,0.81709, , ,29.23462,13.79947,1.8
825,100, , , , ,7.63738, , ,7.63738, ,7.24314, , ,7.24314,-0.22577, ,26.61844, , ,26.61844, ,1.01075, , ,1.01075, ,0.98936, , ,0.98936, ,124.4745, , ,124.4745, ,130.48662, , ,130.48662, ,46.41064, , ,46.41064, ,0.34101, , ,0.34101,86.5254, , , ,86.5254,126.253,-92.50895,562.20193,562.20229, ,531.86457, ,0.59875,0.59835, ,0.82128, , ,30.33772,14.73432,1.9
820,100, , , , ,7.64011, , ,7.64011, ,7.24055, , ,7.24055,-0.23763, ,26.55841, , ,26.55841, ,1.00843, , ,1.00843, ,0.99164, , ,0.99164, ,124.96363, , ,124.96363, ,130.75675, , ,130.75675, ,46.60327, , ,46.60327, ,0.34072, , ,0.34072,86.6453, , , ,86.6453,126.864,-92.19573,559.21206,559.21242, ,527.74587, ,0.59797,0.59758, ,0.82585, , ,31.46655,15.69858,2
815,100, , , , ,7.64285, , ,7.64285, ,7.23796, , ,7.23796,-0.24949, ,26.49837, , ,26.49837, ,1.00609, , ,1.00609, ,0.99395, , ,0.99395, ,125.45242, , ,125.45242, ,131.02554, , ,131.02554, ,46.79585, , ,46.79585, ,0.34042, , ,0.34042,86.7663, , , ,86.7663,127.475,-91.88335,556.22605,556.22641, ,523.60334, ,0.5972,0.59681, ,0.83084, , ,32.62307,16.69388,2.1
810,100, , , , ,7.64559, , ,7.64559, ,7.23536, , ,7.23536,-0.26134, ,26.43833, , ,26.43833, ,1.00374, , ,1.00374, ,0.99628, , ,0.99628, ,125.94089, , ,125.94089, ,131.29299, , ,131.29299, ,46.9884, , ,46.9884, ,0.34013, , ,0.34013,86.8887, , , ,86.8887,128.088,-91.57233,553.2439,553.24425, ,519.43483, ,0.59643,0.59604, ,0.83627, ,33.13419,33.80942,17.722,2.2
