T (C),Phases vol%-AUSTENITE-1.0(C/s),Phases vol%-FERRITE-1.0(C/s),Phases vol%-BAINITE-1.0(C/s),Phases vol%-PEARLITE-1.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-1.0(C/s),Density (g/(cm)^3)-AUSTENITE-1.0(C/s),Density (g/(cm)^3)-FERRITE-1.0(C/s),Density (g/(cm)^3)-TOTAL-1.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-1.0(C/s),Molar volume (cm^3)-AUSTENITE-1.0(C/s),Molar volume (cm^3)-FERRITE-1.0(C/s),Molar volume (cm^3)-TOTAL-1.0(C/s),Linear expansion (%)-  -1.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-1.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-1.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-1.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Young's modulus (GPa)-AUSTENITE-1.0(C/s),Young's modulus (GPa)-FERRITE-1.0(C/s),Young's modulus (GPa)-TOTAL-1.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Bulk modulus (GPa)-AUSTENITE-1.0(C/s),Bulk modulus (GPa)-FERRITE-1.0(C/s),Bulk modulus (GPa)-TOTAL-1.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-1.0(C/s),Shear modulus(GPa)-AUSTENITE-1.0(C/s),Shear modulus(GPa)-FERRITE-1.0(C/s),Shear modulus(GPa)-TOTAL-1.0(C/s),Poisson's ratio-BAINITE_PEARLITE-1.0(C/s),Poisson's ratio-AUSTENITE-1.0(C/s),Poisson's ratio-FERRITE-1.0(C/s),Poisson's ratio-TOTAL-1.0(C/s),Yield Stress (MPa)-TOTAL-1.0(C/s),Yield Stress (MPa)-FERRITE-1.0(C/s),Yield Stress (MPa)-PEARLITE-1.0(C/s),Yield Stress (MPa)-BAINITE-1.0(C/s),Yield Stress (MPa)-AUSTENITE-1.0(C/s),Tensile Stress (MPa)-TOTAL-1.0(C/s),Hardness (HRC)-TOTAL-1.0(C/s),Enthalpy (J/g)-TOTAL-1.0(C/s),Enthalpy (J/g)-AUSTENITE-1.0(C/s),Enthalpy (J/g)-FERRITE-1.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-1.0(C/s),Enthalpy (J/g)-MARTENSITE-1.0(C/s),Specific heat (J/(g K))-TOTAL-1.0(C/s),Specific heat (J/(g K))-AUSTENITE-1.0(C/s),Specific heat (J/(g K))-FERRITE-1.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-1.0(C/s),Specific heat (J/(g K))-MARTENSITE-1.0(C/s),Latent heat (J/g)-FERRITE-1.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s),Latent heat (J/g)-MARTENSITE-1.0(C/s),TIME(s)-Cooling_1.0(C/s)
920,100, , , , ,7.57031, ,7.57031, ,7.26526, ,7.26526,0, ,27.68533, ,27.68533, ,1.05587, ,1.05587, ,0.94708, ,0.94708, ,116.0897, ,116.0897, ,125.4849, ,125.4849, ,43.12999, ,43.12999, ,0.34581, ,0.34581,115.774, , , ,115.774,156.098,-76.80127,626.62801,626.62801, ,612.17563, ,0.61332,0.61332, ,0.7845, , , , ,0
915,100, , , , ,7.57297, ,7.57297, ,7.26271, ,7.26271,-0.0117273, ,27.62521, ,27.62521, ,1.05374, ,1.05374, ,0.949, ,0.949, ,116.5832, ,116.5832, ,125.77937, ,125.77937, ,43.32276, ,43.32276, ,0.34552, ,0.34552,115.889, , , ,115.889,156.845,-76.48608,623.55019,623.55057, ,608.2515, ,0.61556,0.61381, ,0.78474, , ,15.29907,-21.31927,5
910,100, , , , ,7.57563, ,7.57563, ,7.26015, ,7.26015,-0.023455, ,27.56518, ,27.56518, ,1.05159, ,1.05159, ,0.95094, ,0.95094, ,117.07638, ,117.07638, ,126.07256, ,126.07256, ,43.5155, ,43.5155, ,0.34523, ,0.34523,116.003, , , ,116.003,157.59,-76.17323,620.4805,620.48088, ,604.32672, ,0.61394,0.6133, ,0.78501, , ,16.15416,-20.72873,10
905,100, , , , ,7.5783, ,7.5783, ,7.25759, ,7.25759,-0.0351757, ,27.50515, ,27.50515, ,1.04943, ,1.04943, ,0.9529, ,0.9529, ,117.56923, ,117.56923, ,126.36427, ,126.36427, ,43.7082, ,43.7082, ,0.34493, ,0.34493,116.118, , , ,116.118,158.337,-75.862,617.41473,617.41511, ,600.40052, ,0.61315,0.61262, ,0.7854, , ,17.01459,-20.12503,15
900,100, , , , ,7.58097, ,7.58097, ,7.25504, ,7.25504,-0.0468922, ,27.44511, ,27.44511, ,1.04726, ,1.04726, ,0.95487, ,0.95487, ,118.06175, ,118.06175, ,126.65452, ,126.65452, ,43.90086, ,43.90086, ,0.34464, ,0.34464,116.235, , , ,116.235,159.086,-75.55209,614.35286,614.35323, ,596.47208, ,0.61238,0.61189, ,0.78595, , ,17.88115,-19.50767,20
895,100, , , , ,7.58364, ,7.58364, ,7.25249, ,7.25249,-0.0586055, ,27.38508, ,27.38508, ,1.04508, ,1.04508, ,0.95686, ,0.95686, ,118.55395, ,118.55395, ,126.94332, ,126.94332, ,44.09348, ,44.09348, ,0.34435, ,0.34435,116.352, , , ,116.352,159.836,-75.24363,611.29486,611.29524, ,592.54058, ,0.6116,0.61114, ,0.78666, , ,18.75466,-18.87612,25
890,100, , , , ,7.58631, ,7.58631, ,7.24994, ,7.24994,-0.0703161, ,27.32504, ,27.32504, ,1.0429, ,1.0429, ,0.95887, ,0.95887, ,119.04582, ,119.04582, ,127.23069, ,127.23069, ,44.28606, ,44.28606, ,0.34406, ,0.34406,116.471, , , ,116.471,160.588,-74.93661,608.24075,608.24112, ,588.60514, ,0.61082,0.61038, ,0.78754, , ,19.63598,-18.22983,30
885,100, , , , ,7.58898, ,7.58898, ,7.24738, ,7.24738,-0.0820245, ,27.26501, ,27.26501, ,1.0407, ,1.0407, ,0.96089, ,0.96089, ,119.53736, ,119.53736, ,127.51663, ,127.51663, ,44.47861, ,44.47861, ,0.34376, ,0.34376,116.591, , , ,116.591,161.341,-74.63102,605.19051,605.19088, ,584.66486, ,0.61005,0.60962, ,0.78826, , ,20.52602,-17.56819,35
880,100, , , , ,7.59165, ,7.59165, ,7.24483, ,7.24483,-0.0937298, ,27.20497, ,27.20497, ,1.03849, ,1.03849, ,0.96293, ,0.96293, ,120.02858, ,120.02858, ,127.80115, ,127.80115, ,44.67112, ,44.67112, ,0.34347, ,0.34347,116.712, , , ,116.712,162.095,-74.32699,602.14415,602.14452, ,580.71884, ,0.60927,0.60888, ,0.78948, , ,21.42568,-16.89057,40
875,100, , , , ,7.59432, ,7.59432, ,7.24228, ,7.24228,-0.10543, ,27.14494, ,27.14494, ,1.03628, ,1.03628, ,0.96499, ,0.96499, ,120.51946, ,120.51946, ,128.08427, ,128.08427, ,44.86359, ,44.86359, ,0.34318, ,0.34318,116.834, , , ,116.834,162.851,-74.02422,599.10166,599.10203, ,576.76607, ,0.6085,0.6081, ,0.79093, , ,22.33596,-16.19631,45
