T (C),Phases vol%-AUSTENITE-1.0(C/s),Phases vol%-FERRITE-1.0(C/s),Phases vol%-BAINITE-1.0(C/s),Phases vol%-PEARLITE-1.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-1.0(C/s),Density (g/(cm)^3)-AUSTENITE-1.0(C/s),Density (g/(cm)^3)-FERRITE-1.0(C/s),Density (g/(cm)^3)-TOTAL-1.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-1.0(C/s),Molar volume (cm^3)-AUSTENITE-1.0(C/s),Molar volume (cm^3)-FERRITE-1.0(C/s),Molar volume (cm^3)-TOTAL-1.0(C/s),Linear expansion (%)-  -1.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-1.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-1.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-1.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Young's modulus (GPa)-AUSTENITE-1.0(C/s),Young's modulus (GPa)-FERRITE-1.0(C/s),Young's modulus (GPa)-TOTAL-1.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Bulk modulus (GPa)-AUSTENITE-1.0(C/s),Bulk modulus (GPa)-FERRITE-1.0(C/s),Bulk modulus (GPa)-TOTAL-1.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-1.0(C/s),Shear modulus(GPa)-AUSTENITE-1.0(C/s),Shear modulus(GPa)-FERRITE-1.0(C/s),Shear modulus(GPa)-TOTAL-1.0(C/s),Poisson's ratio-BAINITE_PEARLITE-1.0(C/s),Poisson's ratio-AUSTENITE-1.0(C/s),Poisson's ratio-FERRITE-1.0(C/s),Poisson's ratio-TOTAL-1.0(C/s),Yield Stress (MPa)-TOTAL-1.0(C/s),Yield Stress (MPa)-FERRITE-1.0(C/s),Yield Stress (MPa)-PEARLITE-1.0(C/s),Yield Stress (MPa)-BAINITE-1.0(C/s),Yield Stress (MPa)-AUSTENITE-1.0(C/s),Tensile Stress (MPa)-TOTAL-1.0(C/s),Hardness (HRC)-TOTAL-1.0(C/s),Enthalpy (J/g)-TOTAL-1.0(C/s),Enthalpy (J/g)-AUSTENITE-1.0(C/s),Enthalpy (J/g)-FERRITE-1.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-1.0(C/s),Enthalpy (J/g)-MARTENSITE-1.0(C/s),Specific heat (J/(g K))-TOTAL-1.0(C/s),Specific heat (J/(g K))-AUSTENITE-1.0(C/s),Specific heat (J/(g K))-FERRITE-1.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-1.0(C/s),Specific heat (J/(g K))-MARTENSITE-1.0(C/s),Latent heat (J/g)-FERRITE-1.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s),Latent heat (J/g)-MARTENSITE-1.0(C/s),TIME(s)-Cooling_1.0(C/s)
920,100, , , , ,7.55502, ,7.55502, ,7.2383, ,7.2383,0, ,27.61125, ,27.61125, ,1.05871, ,1.05871, ,0.94455, ,0.94455, ,117.0639, ,117.0639, ,125.87805, ,125.87805, ,43.51806, ,43.51806, ,0.345, ,0.345,146.988, , , ,146.988,196.462,-60.62753,633.57723,633.57723, ,613.94699, ,0.61536,0.61536, ,0.78318, , , , ,0
915,100, , , , ,7.55764, ,7.55764, ,7.23579, ,7.23579,-0.0115446, ,27.55113, ,27.55113, ,1.05657, ,1.05657, ,0.94646, ,0.94646, ,117.55551, ,117.55551, ,126.17006, ,126.17006, ,43.71027, ,43.71027, ,0.34471, ,0.34471,147.116, , , ,147.116,197.357,-60.33319,630.48913,630.4895, ,610.02944, ,0.61762,0.61585, ,0.78343, , ,20.46006,-25.27645,5
910,100, , , , ,7.56026, ,7.56026, ,7.23328, ,7.23328,-0.0230901, ,27.4911, ,27.4911, ,1.05442, ,1.05442, ,0.94839, ,0.94839, ,118.04682, ,118.04682, ,126.4608, ,126.4608, ,43.90243, ,43.90243, ,0.34442, ,0.34442,147.245, , , ,147.245,198.251,-60.04115,627.4092,627.40958, ,606.11122, ,0.61599,0.61534, ,0.7837, , ,21.29836,-24.69592,10
905,100, , , , ,7.56288, ,7.56288, ,7.23078, ,7.23078,-0.034629, ,27.43106, ,27.43106, ,1.05226, ,1.05226, ,0.95033, ,0.95033, ,118.5378, ,118.5378, ,126.7501, ,126.7501, ,44.09456, ,44.09456, ,0.34413, ,0.34413,147.374, , , ,147.374,199.147,-59.75073,624.3332,624.33357, ,602.19154, ,0.6152,0.61467, ,0.7841, , ,22.14203,-24.10244,15
900,100, , , , ,7.5655, ,7.5655, ,7.22827, ,7.22827,-0.0461642, ,27.37103, ,27.37103, ,1.05009, ,1.05009, ,0.95229, ,0.95229, ,119.02846, ,119.02846, ,127.03797, ,127.03797, ,44.28665, ,44.28665, ,0.34384, ,0.34384,147.505, , , ,147.505,200.044,-59.46169,621.2611,621.26147, ,598.26961, ,0.61442,0.61394, ,0.78465, , ,22.99186,-23.49552,20
895,100, , , , ,7.56812, ,7.56812, ,7.22577, ,7.22577,-0.0576965, ,27.31099, ,27.31099, ,1.04792, ,1.04792, ,0.95427, ,0.95427, ,119.51879, ,119.51879, ,127.32441, ,127.32441, ,44.4787, ,44.4787, ,0.34355, ,0.34355,147.637, , , ,147.637,200.943,-59.17424,618.19289,618.19326, ,594.34461, ,0.61364,0.61318, ,0.78535, , ,23.84865,-22.87464,25
890,100, , , , ,7.57074, ,7.57074, ,7.22326, ,7.22326,-0.0692267, ,27.25095, ,27.25095, ,1.04573, ,1.04573, ,0.95627, ,0.95627, ,120.00879, ,120.00879, ,127.60945, ,127.60945, ,44.67071, ,44.67071, ,0.34326, ,0.34326,147.77, , , ,147.77,201.843,-58.88826,615.12858,615.12895, ,590.41569, ,0.61286,0.61242, ,0.78624, , ,24.71326,-22.23924,30
885,100, , , , ,7.57337, ,7.57337, ,7.22076, ,7.22076,-0.0807549, ,27.19092, ,27.19092, ,1.04354, ,1.04354, ,0.95828, ,0.95828, ,120.49847, ,120.49847, ,127.89309, ,127.89309, ,44.86269, ,44.86269, ,0.34297, ,0.34297,147.904, , , ,147.904,202.744,-58.60374,612.06815,612.06852, ,586.48194, ,0.61209,0.61166, ,0.78694, , ,25.58658,-21.58875,35
880,100, , , , ,7.57599, ,7.57599, ,7.21826, ,7.21826,-0.0922805, ,27.13088, ,27.13088, ,1.04133, ,1.04133, ,0.96031, ,0.96031, ,120.98782, ,120.98782, ,128.17533, ,128.17533, ,45.05463, ,45.05463, ,0.34268, ,0.34268,148.04, , , ,148.04,203.647,-58.32077,609.01161,609.01198, ,582.54248, ,0.61131,0.61091, ,0.78816, , ,26.4695,-20.92256,40
875,100, , , , ,7.57862, ,7.57862, ,7.21576, ,7.21576,-0.1038, ,27.07084, ,27.07084, ,1.03911, ,1.03911, ,0.96236, ,0.96236, ,121.47685, ,121.47685, ,128.45619, ,128.45619, ,45.24653, ,45.24653, ,0.34239, ,0.34239,148.178, , , ,148.178,204.55,-58.03913,605.95896,605.95932, ,578.59631, ,0.61053,0.61013, ,0.7896, , ,27.36301,-20.24,45
