T (C),Phases vol%-AUSTENITE-1.0(C/s),Phases vol%-FERRITE-1.0(C/s),Phases vol%-MARTENSITE-1.0(C/s),Phases vol%-BAINITE-1.0(C/s),Phases vol%-PEARLITE-1.0(C/s),Density (g/(cm)^3)-BAINITE_PEARLITE-1.0(C/s),Density (g/(cm)^3)-AUSTENITE-1.0(C/s),Density (g/(cm)^3)-FERRITE-1.0(C/s),Density (g/(cm)^3)-MARTENSITE-1.0(C/s),Density (g/(cm)^3)-TOTAL-1.0(C/s),Molar volume (cm^3)-BAINITE_PEARLITE-1.0(C/s),Molar volume (cm^3)-AUSTENITE-1.0(C/s),Molar volume (cm^3)-FERRITE-1.0(C/s),Molar volume (cm^3)-MARTENSITE-1.0(C/s),Molar volume (cm^3)-TOTAL-1.0(C/s),Linear expansion (%)-  -1.0(C/s),Thermal conductivity (W/(m*K))-BAINITE_PEARLITE-1.0(C/s),Thermal conductivity (W/(m*K))-AUSTENITE-1.0(C/s),Thermal conductivity (W/(m*K))-FERRITE-1.0(C/s),Thermal conductivity (W/(m*K))-MARTENSITE-1.0(C/s),Thermal conductivity (W/(m*K))-TOTAL-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-BAINITE_PEARLITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-AUSTENITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-FERRITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-MARTENSITE-1.0(C/s),Electrical resistivity (10e-6 Ohm*m)-TOTAL-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-BAINITE_PEARLITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-AUSTENITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-FERRITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-MARTENSITE-1.0(C/s),Electrical conductivity (10e6 1/(Ohm*m))-TOTAL-1.0(C/s),Young's modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Young's modulus (GPa)-AUSTENITE-1.0(C/s),Young's modulus (GPa)-FERRITE-1.0(C/s),Young's modulus (GPa)-MARTENSITE-1.0(C/s),Young's modulus (GPa)-TOTAL-1.0(C/s),Bulk modulus (GPa)-BAINITE_PEARLITE-1.0(C/s),Bulk modulus (GPa)-AUSTENITE-1.0(C/s),Bulk modulus (GPa)-FERRITE-1.0(C/s),Bulk modulus (GPa)-MARTENSITE-1.0(C/s),Bulk modulus (GPa)-TOTAL-1.0(C/s),Shear modulus(GPa)-BAINITE_PEARLITE-1.0(C/s),Shear modulus(GPa)-AUSTENITE-1.0(C/s),Shear modulus(GPa)-FERRITE-1.0(C/s),Shear modulus(GPa)-MARTENSITE-1.0(C/s),Shear modulus(GPa)-TOTAL-1.0(C/s),Poisson's ratio-BAINITE_PEARLITE-1.0(C/s),Poisson's ratio-AUSTENITE-1.0(C/s),Poisson's ratio-FERRITE-1.0(C/s),Poisson's ratio-MARTENSITE-1.0(C/s),Poisson's ratio-TOTAL-1.0(C/s),Yield Stress (MPa)-TOTAL-1.0(C/s),Yield Stress (MPa)-FERRITE-1.0(C/s),Yield Stress (MPa)-PEARLITE-1.0(C/s),Yield Stress (MPa)-BAINITE-1.0(C/s),Yield Stress (MPa)-MARTENSITE-1.0(C/s),Yield Stress (MPa)-AUSTENITE-1.0(C/s),Tensile Stress (MPa)-TOTAL-1.0(C/s),Hardness (HRC)-TOTAL-1.0(C/s),Enthalpy (J/g)-TOTAL-1.0(C/s),Enthalpy (J/g)-AUSTENITE-1.0(C/s),Enthalpy (J/g)-FERRITE-1.0(C/s),Enthalpy (J/g)-BAINITE_PEARLITE-1.0(C/s),Enthalpy (J/g)-MARTENSITE-1.0(C/s),Specific heat (J/(g K))-TOTAL-1.0(C/s),Specific heat (J/(g K))-AUSTENITE-1.0(C/s),Specific heat (J/(g K))-FERRITE-1.0(C/s),Specific heat (J/(g K))-BAINITE_PEARLITE-1.0(C/s),Specific heat (J/(g K))-MARTENSITE-1.0(C/s),Latent heat (J/g)-FERRITE-1.0(C/s),Latent heat (J/g)-BAINITE_PEARLITE-1.0(C/s),Latent heat (J/g)-MARTENSITE-1.0(C/s),TIME(s)-Cooling_1.0(C/s)
920,100, , , , , ,7.52843, , ,7.52843, ,7.19184, , ,7.19184,0, ,27.48108, , ,27.48108, ,1.06372, , ,1.06372, ,0.9401, , ,0.9401, ,118.77639, , ,118.77639, ,126.55941, , ,126.55941, ,44.20137, , ,44.20137, ,0.34358, , ,0.34358,201.372, , , , ,201.372,265.243,-40.28861,645.90414,645.90414, ,617.07708, ,0.61893,0.61893, ,0.7806, , , , ,0
915,100, , , , , ,7.53096, , ,7.53096, ,7.18942, , ,7.18942,-0.0112279, ,27.42095, , ,27.42095, ,1.06159, , ,1.06159, ,0.94199, , ,0.94199, ,119.26472, , ,119.26472, ,126.8472, , ,126.8472, ,44.39257, , ,44.39257, ,0.3433, , ,0.3433,201.525, , , , ,201.525,266.372,-40.02576,642.79808,642.79848, ,613.17249, ,0.62121,0.61943, ,0.78084, , ,29.62599,-31.74091,5
910,100, , , , , ,7.5335, , ,7.5335, ,7.187, , ,7.187,-0.0224563, ,27.36092, , ,27.36092, ,1.05944, , ,1.05944, ,0.9439, , ,0.9439, ,119.75274, , ,119.75274, ,127.13376, , ,127.13376, ,44.58373, , ,44.58373, ,0.34301, , ,0.34301,201.678, , , , ,201.678,267.501,-39.76497,639.70022,639.70063, ,609.26719, ,0.61957,0.61892, ,0.78112, , ,30.43344,-31.17775,10
905,100, , , , , ,7.53604, , ,7.53604, ,7.18458, , ,7.18458,-0.0336789, ,27.30088, , ,27.30088, ,1.05728, , ,1.05728, ,0.94582, , ,0.94582, ,120.24043, , ,120.24043, ,127.41892, , ,127.41892, ,44.77484, , ,44.77484, ,0.34272, , ,0.34272,201.832, , , , ,201.832,268.631,-39.50573,636.60631,636.60672, ,605.36043, ,0.61878,0.61824, ,0.78152, , ,31.24629,-30.60198,15
900,100, , , , , ,7.53858, , ,7.53858, ,7.18216, , ,7.18216,-0.0448984, ,27.24084, , ,27.24084, ,1.05511, , ,1.05511, ,0.94777, , ,0.94777, ,120.72779, , ,120.72779, ,127.7027, , ,127.7027, ,44.96593, , ,44.96593, ,0.34244, , ,0.34244,201.988, , , , ,201.988,269.762,-39.24789,633.51633,633.51673, ,601.45143, ,0.618,0.61751, ,0.78206, , ,32.0653,-30.01312,20
895,100, , , , , ,7.54112, , ,7.54112, ,7.17974, , ,7.17974,-0.0561159, ,27.1808, , ,27.1808, ,1.05294, , ,1.05294, ,0.94972, , ,0.94972, ,121.21484, , ,121.21484, ,127.9851, , ,127.9851, ,45.15697, , ,45.15697, ,0.34215, , ,0.34215,202.145, , , , ,202.145,270.894,-38.99158,630.43025,630.43065, ,597.53938, ,0.61721,0.61676, ,0.78276, , ,32.89127,-29.4107,25
890,100, , , , , ,7.54366, , ,7.54366, ,7.17732, , ,7.17732,-0.067332, ,27.12076, , ,27.12076, ,1.05075, , ,1.05075, ,0.9517, , ,0.9517, ,121.70156, , ,121.70156, ,128.26614, , ,128.26614, ,45.34798, , ,45.34798, ,0.34186, , ,0.34186,202.304, , , , ,202.304,272.027,-38.73679,627.34809,627.34848, ,593.62346, ,0.61643,0.61599, ,0.78358, , ,33.72502,-28.79416,30
885,100, , , , , ,7.54621, , ,7.54621, ,7.1749, , ,7.1749,-0.0785469, ,27.06072, , ,27.06072, ,1.04856, , ,1.04856, ,0.95369, , ,0.95369, ,122.18797, , ,122.18797, ,128.54583, , ,128.54583, ,45.53895, , ,45.53895, ,0.34158, , ,0.34158,202.464, , , , ,202.464,273.161,-38.48343,624.26983,624.27022, ,589.70279, ,0.61565,0.61522, ,0.78432, , ,34.56743,-28.16294,35
880,100, , , , , ,7.54875, , ,7.54875, ,7.17248, , ,7.17248,-0.0897598, ,27.00068, , ,27.00068, ,1.04635, , ,1.04635, ,0.9557, , ,0.9557, ,122.67406, , ,122.67406, ,128.82416, , ,128.82416, ,45.72988, , ,45.72988, ,0.34129, , ,0.34129,202.626, , , , ,202.626,274.297,-38.23157,621.19548,621.19587, ,585.77649, ,0.61487,0.61447, ,0.78551, , ,35.41938,-27.51646,40
875,100, , , , , ,7.5513, , ,7.5513, ,7.17006, , ,7.17006,-0.10097, ,26.94064, , ,26.94064, ,1.04414, , ,1.04414, ,0.95773, , ,0.95773, ,123.15982, , ,123.15982, ,129.10116, , ,129.10116, ,45.92077, , ,45.92077, ,0.341, , ,0.341,202.79, , , , ,202.79,275.433,-37.98111,618.12504,618.12543, ,581.8436, ,0.61409,0.61369, ,0.78693, , ,36.28183,-26.85408,45
870,100, , , , , ,7.55385, , ,7.55385, ,7.16764, , ,7.16764,-0.11218, ,26.88059, , ,26.88059, ,1.04191, , ,1.04191, ,0.95978, , ,0.95978, ,123.64527, , ,123.64527, ,129.37682, , ,129.37682, ,46.11163, , ,46.11163, ,0.34072, , ,0.34072,202.955, , , , ,202.955,276.569,-37.73212,615.0585,615.05889, ,577.90315, ,0.61331,0.61291, ,0.78866, , ,37.15574,-26.17514,50
865,100, , , , , ,7.5564, , ,7.5564, ,7.16522, , ,7.16522,-0.12339, ,26.82055, , ,26.82055, ,1.03968, , ,1.03968, ,0.96184, , ,0.96184, ,124.1304, , ,124.1304, ,129.65116, , ,129.65116, ,46.30244, , ,46.30244, ,0.34043, , ,0.34043,203.121, , , , ,203.121,277.707,-37.48458,611.99586,611.99625, ,573.95409, ,0.61253,0.61213, ,0.79049, , ,38.04216,-25.47893,55
860,100, , , , , ,7.55895, , ,7.55895, ,7.1628, , ,7.1628,-0.1346, ,26.76051, , ,26.76051, ,1.03743, , ,1.03743, ,0.96392, , ,0.96392, ,124.6152, , ,124.6152, ,129.92419, , ,129.92419, ,46.49322, , ,46.49322, ,0.34014, , ,0.34014,203.29, , , , ,203.29,278.845,-37.23848,608.93713,608.93752, ,569.99532, ,0.61175,0.61135, ,0.79255, , ,38.9422,-24.76467,60
855,100, , , , , ,7.5615, , ,7.5615, ,7.16038, , ,7.16038,-0.14581, ,26.70046, , ,26.70046, ,1.03518, , ,1.03518, ,0.96602, , ,0.96602, ,125.09969, , ,125.09969, ,130.19591, , ,130.19591, ,46.68397, , ,46.68397, ,0.33986, , ,0.33986,203.46, , , , ,203.46,279.984,-36.99374,605.88231,605.88269, ,566.02572, ,0.61097,0.61057, ,0.7948, , ,39.85697,-24.03159,65
850,100, , , , , ,7.56406, , ,7.56406, ,7.15797, , ,7.15797,-0.15702, ,26.64042, , ,26.64042, ,1.03291, , ,1.03291, ,0.96814, , ,0.96814, ,125.58386, , ,125.58386, ,130.46632, , ,130.46632, ,46.87467, , ,46.87467, ,0.33957, , ,0.33957,203.632, , , , ,203.632,281.123,-36.75048,602.83138,602.83176, ,562.04405, ,0.61018,0.60979, ,0.79734, , ,40.78771,-23.27881,70
845,100, , , , , ,7.56661, , ,7.56661, ,7.15555, , ,7.15555,-0.16823, ,26.58038, , ,26.58038, ,1.03064, , ,1.03064, ,0.97028, , ,0.97028, ,126.06771, , ,126.06771, ,130.73544, , ,130.73544, ,47.06534, , ,47.06534, ,0.33928, , ,0.33928,203.805, , , , ,203.805,282.263,-36.50856,599.78437,599.78474, ,558.04903, ,0.6094,0.60901, ,0.80015, , ,41.73571,-22.5054,75
840,100, , , , , ,7.56917, , ,7.56917, ,7.15313, , ,7.15313,-0.17944, ,26.52033, , ,26.52033, ,1.02835, , ,1.02835, ,0.97243, , ,0.97243, ,126.55124, , ,126.55124, ,131.00327, , ,131.00327, ,47.25597, , ,47.25597, ,0.339, , ,0.339,203.981, , , , ,203.981,283.403,-36.26802,596.74126,596.74163, ,554.03931, ,0.60862,0.60822, ,0.80325, , ,42.70232,-21.7104,80
835,100, , , , , ,7.57173, , ,7.57173, ,7.15071, , ,7.15071,-0.19064, ,26.46028, , ,26.46028, ,1.02605, , ,1.02605, ,0.97461, , ,0.97461, ,127.03445, , ,127.03445, ,131.26981, , ,131.26981, ,47.44656, , ,47.44656, ,0.33871, , ,0.33871,204.158, , , , ,204.158,284.544,-36.02894,593.70205,593.70242, ,550.01341, ,0.60784,0.60744, ,0.80664, , ,43.68901,-20.89275,85
830,100, , , , , ,7.57429, , ,7.57429, ,7.14829, , ,7.14829,-0.20185, ,26.40024, , ,26.40024, ,1.02375, , ,1.02375, ,0.9768, , ,0.9768, ,127.51734, , ,127.51734, ,131.53508, , ,131.53508, ,47.63712, , ,47.63712, ,0.33842, , ,0.33842,204.337, , , , ,204.337,285.684,-35.79122,590.66675,590.66712, ,545.96979, ,0.60706,0.60666, ,0.81035, , ,44.69733,-20.05132,90
825,100, , , , , ,7.57685, , ,7.57685, ,7.14588, , ,7.14588,-0.21305, ,26.34019, , ,26.34019, ,1.02143, , ,1.02143, ,0.97902, , ,0.97902, ,127.99992, , ,127.99992, ,131.79909, , ,131.79909, ,47.82764, , ,47.82764, ,0.33814, , ,0.33814,204.518, , , , ,204.518,286.825,-35.55478,587.63536,587.63573, ,541.90678, ,0.60628,0.60588, ,0.81441, , ,45.72895,-19.18489,95
820,100, , , , , ,7.57942, , ,7.57942, ,7.14346, , ,7.14346,-0.22426, ,26.28015, , ,26.28015, ,1.0191, , ,1.0191, ,0.98126, , ,0.98126, ,128.48217, , ,128.48217, ,132.06183, , ,132.06183, ,48.01812, , ,48.01812, ,0.33785, , ,0.33785,204.7, , , , ,204.7,287.966,-35.31976,584.60788,584.60824, ,537.8226, ,0.6055,0.6051, ,0.81884, , ,46.78564,-18.29216,100
815,100, , , , , ,7.58198, , ,7.58198, ,7.14104, , ,7.14104,-0.23546, ,26.2201, , ,26.2201, ,1.01676, , ,1.01676, ,0.98351, , ,0.98351, ,128.9641, , ,128.9641, ,132.32332, , ,132.32332, ,48.20856, , ,48.20856, ,0.33756, , ,0.33756,204.885, , , , ,204.885,289.107,-35.08614,581.5843,581.58467, ,533.71534, ,0.60472,0.60432, ,0.82367, , ,47.86933,-17.37172,105
810,100, , , , , ,7.58455, , ,7.58455, ,7.13862, , ,7.13862,-0.24666, ,26.16005, , ,26.16005, ,1.01442, , ,1.01442, ,0.98579, , ,0.98579, ,129.44572, , ,129.44572, ,132.58356, , ,132.58356, ,48.39896, , ,48.39896, ,0.33728, , ,0.33728,205.071, , , , ,205.071,290.249,-34.85377,578.56463,578.565, ,529.58291, ,0.60393,0.60353, ,0.82893, , ,48.98209,-16.42207,110
805,100, , , , , ,7.58712, , ,7.58712, ,7.13621, , ,7.13621,-0.25787, ,26.1, , ,26.1, ,1.01206, , ,1.01206, ,0.98809, , ,0.98809, ,129.92702, , ,129.92702, ,132.84256, , ,132.84256, ,48.58933, , ,48.58933, ,0.33699, , ,0.33699,205.26, , , , ,205.26,291.39,-34.62277,575.54888,575.54924, ,525.42309, ,0.60315,0.60275, ,0.83465, , ,50.12615,-15.44154,115
800,100, , , , , ,7.58969, , ,7.58969, ,7.13379, , ,7.13379,-0.26907, ,26.03995, , ,26.03995, ,1.00969, , ,1.00969, ,0.99041, , ,0.99041, ,130.40799, , ,130.40799, ,133.10032, , ,133.10032, ,48.77966, , ,48.77966, ,0.3367, , ,0.3367,205.45, , , , ,205.45,292.531,-34.39307,572.53703,572.53739, ,521.23346, ,0.60237,0.60197, ,0.84088, , ,51.30393,-14.42836,120
795,100, , , , , ,7.59226, , ,7.59226, ,7.13137, , ,7.13137,-0.28027, ,25.9799, , ,25.9799, ,1.0073, , ,1.0073, ,0.99275, , ,0.99275, ,130.88865, , ,130.88865, ,133.35686, , ,133.35686, ,48.96995, , ,48.96995, ,0.33642, , ,0.33642,205.643, , , , ,205.643,293.672,-34.16465,569.5291,569.52946, ,517.01139, ,0.60159,0.60119, ,0.84766, , ,52.51807,-13.38059,125
790,100, , , , , ,7.59484, , ,7.59484, ,7.12896, , ,7.12896,-0.29147, ,25.91986, , ,25.91986, ,1.00491, , ,1.00491, ,0.99511, , ,0.99511, ,131.36899, , ,131.36899, ,133.61217, , ,133.61217, ,49.1602, , ,49.1602, ,0.33613, , ,0.33613,205.838, , , , ,205.838,294.812,-33.93758,566.52507,566.52543, ,512.75401, ,0.60081,0.60041, ,0.85504, , ,53.77142,-12.29615,130
785,100, , , , , ,7.59741, , ,7.59741, ,7.12654, , ,7.12654,-0.30267, ,25.85981, , ,25.85981, ,1.00251, , ,1.00251, ,0.9975, , ,0.9975, ,131.849, , ,131.849, ,133.86626, , ,133.86626, ,49.35042, , ,49.35042, ,0.33584, , ,0.33584,206.034, , , , ,206.034,295.953,-33.71176,563.52496,563.52532, ,508.4582, ,0.60002,0.59962, ,0.86308, , ,55.06712,-11.17273,135
780,100, , , , , ,7.59999, , ,7.59999, ,7.12412, , ,7.12412,-0.31387, ,25.79975, , ,25.79975, ,1.00009, , ,1.00009, ,0.99991, , ,0.99991, ,132.3287, , ,132.3287, ,134.11915, , ,134.11915, ,49.54059, , ,49.54059, ,0.33556, , ,0.33556,206.233, , , , ,206.233,297.093,-33.4872,560.52877,560.52912, ,504.12055, ,0.59924,0.59884, ,0.87182, , ,56.40857,-10.00786,140
775,100, , , , , ,7.60257, , ,7.60257, ,7.12171, , ,7.12171,-0.32507, ,25.7397, , ,25.7397, ,0.99767, , ,0.99767, ,1.00234, , ,1.00234, ,132.80808, , ,132.80808, ,134.37084, , ,134.37084, ,49.73073, , ,49.73073, ,0.33527, , ,0.33527,206.434, , , , ,206.434,298.232,-33.26395,557.53649,557.53684, ,499.73732, ,0.59846,0.59806, ,0.88136, , ,57.79952,-8.79879,145
770,100, , , , , ,7.60515, , ,7.60515, ,7.11929, , ,7.11929,-0.33627, ,25.67965, , ,25.67965, ,0.99523, , ,0.99523, ,1.00479, , ,1.00479, ,133.28714, , ,133.28714, ,134.62133, , ,134.62133, ,49.92083, , ,49.92083, ,0.33499, , ,0.33499,206.638, , , , ,206.638,299.372,-33.04193,554.54812,554.54847, ,495.30438, ,0.59767,0.59727, ,0.89176, , ,59.24409,-7.54256,150
765,100, , , , , ,7.60773, , ,7.60773, ,7.11688, , ,7.11688,-0.34747, ,25.6196, , ,25.6196, ,0.99278, , ,0.99278, ,1.00727, , ,1.00727, ,133.76588, , ,133.76588, ,134.87062, , ,134.87062, ,50.1109, , ,50.1109, ,0.3347, , ,0.3347,206.843, , , , ,206.843,300.511,-32.82119,551.56367,551.56402, ,490.8172, ,0.59689,0.59649, ,0.90312, , ,60.74682,-6.23589,155
760,100, , , , , ,7.61031, , ,7.61031, ,7.11446, , ,7.11446,-0.35866, ,25.55955, , ,25.55955, ,0.99032, , ,0.99032, ,1.00977, , ,1.00977, ,134.2443, , ,134.2443, ,135.11874, , ,135.11874, ,50.30092, , ,50.30092, ,0.33441, , ,0.33441,207.051, , , , ,207.051,301.649,-32.60166,548.58314,548.58349, ,486.27079, ,0.59611,0.59571, ,0.91553, , ,62.3127,-4.8752,160
